                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.7293,                 1.2577,                 1.4601,                0.71861,                0.62232,                0.65477,                0.29029,                 1.9855,                 1.3868,                 1.7784,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.7055,                 1.2781,                 1.4648,                0.70514,                0.66046,                0.66787,                0.28861,                  1.937,                 1.3638,                 1.7053,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6933,                  1.279,                 1.4665,                 0.7124,                0.64801,                0.65441,                0.28474,                 1.9507,                  1.429,                 1.7523,               0.000614,               0.000614,               0.000614
                     72,                 1.6846,                  1.243,                 1.4536,                0.66647,                0.65647,                0.64846,                0.28331,                 1.9902,                 1.3176,                 1.7701,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6912,                 1.2143,                 1.4419,                0.71808,                0.66205,                0.67744,                0.29496,                 1.9694,                 1.3318,                 1.7285,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.6816,                 1.2349,                 1.4334,                0.71537,                0.65523,                0.68236,                0.29353,                  1.988,                 1.3244,                 1.7369,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6918,                 1.2471,                 1.4397,                0.72263,                0.65704,                 0.6801,                0.29865,                 1.9756,                   1.33,                 1.7355,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.6805,                 1.2068,                 1.4448,                0.69151,                 0.6555,                0.66264,                0.29819,                 2.0094,                 1.3139,                 1.7795,               0.000515,               0.000515,               0.000515
                     77,                  1.678,                 1.2276,                  1.426,                0.68886,                0.65523,                0.66218,                0.28715,                 2.0023,                 1.3539,                 1.7576,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.6579,                 1.2168,                 1.4331,                0.69922,                0.64621,                0.67056,                0.29702,                 1.9469,                 1.3008,                 1.7172,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.6678,                  1.217,                 1.4335,                 0.7103,                0.64079,                0.65464,                0.29444,                 1.9542,                 1.3925,                 1.7285,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.6377,                 1.1974,                 1.4068,                0.69387,                0.64801,                0.66241,                0.29601,                 1.9898,                 1.3306,                 1.7395,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.6106,                 1.1807,                 1.4142,                0.70583,                0.65523,                0.67515,                0.30499,                 1.9795,                 1.3625,                 1.7462,               0.000416,               0.000416,               0.000416
                     82,                 1.6395,                 1.1813,                 1.4289,                0.69345,                0.68231,                0.68742,                0.30893,                 1.9918,                 1.3198,                 1.7553,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.6217,                 1.1677,                 1.3873,                 0.7107,                0.67148,                0.68791,                0.30848,                 1.9777,                 1.3107,                 1.7304,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.6299,                 1.1715,                 1.4162,                0.71255,                0.65162,                0.67098,                0.29568,                 2.0204,                 1.3514,                 1.7757,              0.0003566,              0.0003566,              0.0003566
                     85,                  1.622,                 1.1437,                 1.4116,                 0.6941,                0.66426,                 0.6784,                0.31029,                 1.9864,                 1.3018,                 1.7731,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.5964,                 1.1556,                 1.3884,                 0.7358,                0.63718,                 0.6672,                0.29777,                 2.0225,                 1.3488,                  1.815,               0.000317,               0.000317,               0.000317
                     87,                 1.6079,                 1.1353,                 1.3953,                0.68465,                0.66245,                0.65943,                0.28956,                 2.0507,                   1.35,                 1.8398,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.5753,                   1.13,                 1.3803,                0.71264,                0.65884,                0.68107,                0.30058,                 1.9811,                 1.3442,                 1.7678,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.595,                 1.1091,                 1.3889,                0.71382,                0.65733,                0.67387,                 0.2969,                 1.9865,                 1.3699,                 1.7566,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5984,                 1.0975,                 1.3712,                0.71083,                0.64337,                0.66806,                0.30082,                 2.0015,                  1.313,                 1.7631,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.5733,                 1.0061,                 1.3979,                0.67646,                0.67509,                0.67428,                 0.3048,                 1.9824,                 1.3085,                 1.7655,               0.000218,               0.000218,               0.000218
                     92,                 1.5464,                0.99661,                 1.3856,                0.71137,                0.65842,                0.67767,                0.30869,                  1.979,                 1.2806,                 1.7642,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.5254,                0.96702,                 1.3788,                0.70933,                0.65633,                0.68319,                0.31166,                 1.9801,                 1.2937,                 1.7556,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.5502,                0.96122,                  1.382,                0.68066,                0.66245,                0.66586,                0.30593,                 2.0204,                 1.3087,                 1.7908,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.5263,                0.95854,                 1.3737,                0.69628,                 0.6426,                0.66653,                0.30381,                  2.016,                 1.3397,                 1.7911,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.5284,                0.95039,                 1.3835,                0.68979,                0.65826,                0.66585,                0.30576,                  1.997,                 1.3299,                 1.7871,               0.000119,               0.000119,               0.000119
                     97,                 1.5258,                0.93751,                 1.3843,                0.68394,                0.65343,                0.66399,                0.30454,                 1.9806,                 1.3384,                 1.7552,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.5099,                0.93307,                 1.3654,                0.70225,                0.64079,                 0.6659,                 0.3049,                 1.9942,                 1.3488,                 1.7917,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.503,                0.91782,                 1.3498,                0.71291,                0.65443,                0.67164,                0.30829,                 2.0053,                 1.3349,                 1.7836,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.5018,                0.92719,                 1.3539,                0.70723,                0.65405,                 0.6699,                0.30775,                 1.9993,                 1.3359,                 1.7836,               3.98e-05,               3.98e-05,               3.98e-05
